id_cliente;age;state;first_purchased_product;product_b_total_qty;product_c_total_qty;product_a_total_qty;product_b_total_value;product_c_total_value;product_a_total_value
1547896;55;MT;;;;;;;
1547897;28;AL;a;;;9;;;144
1547898;45;SE;a;8;3;1;203;333,18;20
1547899;47;PE;a;4;;5;136;;7
1547900;32;SP;b;9;12;;8;0;
1547901;42;MG;b;19;;;24;;
1547902;28;PE;;;;;;;
1547903;33;RJ;c;;8;;;6,1;
1547904;26;MG;;;;;;;
1547905;38;SP;b;14;;;195;;
1547906;25;MG;b;12;;;36;;
1547907;22;PE;a;12;2;3;225;323,75;0
1547908;33;BA;a;16;;13;48;;72
1547909;39;BA;a;11;8;5;16;120,7;114
1547910;36;SP;b;21;6;;22;1593,9;
1547911;47;RJ;;;;;;;
1547912;42;SP;;;;;;;
1547913;46;PR;c;;4;;;116,8;
1547914;28;AL;b;9;9;;156;78,29;
1547915;32;CE;b;17;11;;52;3580,14;
1547916;38;SP;b;10;6;;15;155,12;
1547917;35;CE;a;1;;5;4;;0
1547918;31;SC;b;8;10;;90;122,93;
1547919;49;SP;;;;;;;
1547920;37;PA;b;8;4;;10;1393,28;
1547921;22;RS;b;14;11;;98;58,5;
1547922;31;GO;a;19;12;6;736;986,16;30
1547923;25;RS;a;;8;21;;45;116
1547924;2;MG;a;14;6;4;12;525,12;42
1547925;29;SP;;;;;;;
1547926;52;ES;;;;;;;
1547927;39;RJ;;;;;;;
1547928;48;RR;b;14;8;;84;359,92;
1547929;28;PA;b;15;9;;81;958,65;
1547930;31;CE;;;;;;;
1547931;37;SP;b;11;4;;12;291,3;
1547932;37;SP;b;9;13;;230;325,41;
1547933;38;AL;b;18;;;198;;
1547934;33;MG;b;24;13;;195;2337,6;
1547935;52;RJ;;;;;;;
1547936;8;SP;a;11;;6;75;;84
1547937;1;ES;;;;;;;
1547938;26;RS;a;12;;8;20;;80
1547939;45;RS;;;;;;;
1547940;38;RJ;a;10;11;13;3;172,8;45
1547941;7;SP;;;;;;;
1547942;1;CE;b;5;;;0;;
1547943;31;SP;;;;;;;
1547944;29;RS;b;11;;;15;;
1547945;32;CE;b;9;;;4;;
1547946;46;RS;b;9;;;350;;
1547947;53;SP;;;;;;;
1547948;34;SP;a;;;10;;;21
1547949;36;PI;b;13;5;;15;504,6;
1547950;5;CE;c;;9;;;1365,08;
1547951;40;DF;a;37;;12;246;;78
1547952;30;GO;a;12;;8;20;;48
1547953;47;BA;b;11;;;1035;;
1547954;48;SP;;;;;;;
1547955;27;PR;;;;;;;
1547956;39;MT;;;;;;;
1547957;30;MG;b;14;12;;52;304,8;
1547958;45;SP;b;13;11;;72;0;
1547959;48;DF;b;16;;;576;;
1547960;34;SP;b;9;13;;477;2297,61;
1547961;34;CE;b;8;;;36;;
1547962;52;RN;b;8;13;;20;2247,5;
1547963;30;BA;;;;;;;
1547964;40;MG;c;;11;;;5821,76;
1547965;41;PE;b;10;11;;450;1776,87;
1547966;28;DF;a;20;4;1;230;0;92
1547967;41;RS;;;;;;;
1547968;9;PE;b;6;13;;144;767,75;
1547969;46;ES;c;;17;;;474,3;
1547970;40;SP;b;10;7;;20;36;
1547971;10;MS;c;;10;;;1231,74;
1547972;37;PR;a;7;;30;135;;365
1547973;34;SP;;;;;;;
1547974;52;SP;b;10;6;;188;0;
1547975;35;SP;b;13;;;0;;
1547976;37;SP;;;;;;;
1547977;42;AP;c;;10;;;1585,02;
1547978;49;SC;b;6;5;;27;1655,7;
1547979;33;BA;b;3;;;27;;
1547980;38;SP;a;7;;7;99;;0
1547981;32;CE;a;15;15;11;35;3626,4;0
1547982;37;BA;b;11;7;;170;237,24;
1547983;40;SP;b;5;7;;8;299,52;
1547984;40;RS;;;;;;;
1547985;27;PE;a;7;;2;8;;18
1547986;36;GO;a;6;2;5;0;4,8;42
1547987;38;DF;b;17;;;120;;
1547988;30;RS;a;11;;20;1000;;190
1547989;32;RS;;;;;;;
1547990;23;SP;;;;;;;
1547991;31;PB;;;;;;;
1547992;39;PA;b;5;6;;6;573,12;
1547993;27;MT;;;;;;;
1547994;30;CE;a;27;14;12;288;0;0
1547995;37;SP;c;;15;;;0;
1547996;37;CE;b;11;15;;4;39,44;
1547997;31;RN;b;36;3;;3141;412,38;
1547998;23;RN;b;38;18;;423;1136,28;
1547999;31;SP;b;10;8;;32;182,2;
1548000;42;BA;c;;12;;;947,61;
1548001;29;PR;;;;;;;
1548002;38;PE;b;47;;;1251;;
1548003;30;MA;a;14;12;19;36;447,03;612
1548004;29;SP;;;;;;;
1548005;31;RJ;b;10;2;;21;1340,5;
1548006;39;RJ;;;;;;;
1548007;37;SP;c;;9;;;2192;
1548008;31;MT;c;;2;;;3;
1548009;33;SP;b;11;10;;165;79,8;
1548010;39;RS;;;;;;;
1548011;47;RN;c;;14;;;4057,41;
1548012;33;PR;b;10;3;;14;114,24;
1548013;42;CE;;;;;;;
1548014;28;MT;a;7;;5;4;;6
1548015;6;MG;;;;;;;
1548016;27;SP;a;4;11;6;1850;349,9;55
1548017;36;SP;;;;;;;
1548018;21;ES;b;6;;;42;;
1548019;53;PE;b;18;;;130;;
1548020;44;PB;b;5;9;;28;451,68;
1548021;38;PE;a;20;12;11;1744;1833,8;4
1548022;30;SP;b;6;1;;72;48,23;
1548023;43;SP;b;13;11;;144;4902,88;
1548024;34;BA;b;13;;;8;;
1548025;48;MG;b;2;;;8;;
1548026;44;RN;;;;;;;
1548027;45;SP;b;6;9;;24;719,82;
1548028;29;BA;;;;;;;
1548029;4;SP;;;;;;;
1548030;47;MA;;;;;;;
1548031;33;SP;b;10;8;;25;185,9;
1548032;37;BA;b;7;5;;90;58,44;
1548033;39;BA;;;;;;;
1548034;37;RJ;a;;;5;;;21
1548035;38;MG;;;;;;;
1548036;7;CE;b;28;5;;270;3315,2;
1548037;24;PR;a;9;;8;348;;81
1548038;26;RJ;c;;9;;;679,2;
1548039;43;AL;b;21;10;;1755;518,94;
1548040;37;SP;a;13;;7;48;;45
1548041;30;AL;;;;;;;
1548042;7;ES;b;78;5;;0;119,98;
1548043;45;ES;;;;;;;
1548044;49;PR;b;6;11;;21;444,05;
1548045;1;RJ;a;6;;6;56;;30
1548046;30;SP;b;23;;;72;;
1548047;39;SP;;;;;;;
1548048;47;SP;;;;;;;
1548049;50;MG;a;14;;6;0;;28
1548050;39;AP;b;14;19;;55;701,73;
1548051;28;MG;c;;11;;;809,76;
1548052;35;RJ;b;9;;;117;;
1548053;37;SP;;;;;;;
1548054;32;SC;;;;;;;
1548055;6;RJ;;;;;;;
1548056;33;CE;b;11;;;54;;
1548057;45;SP;b;4;13;;32;1278,9;
1548058;22;RJ;a;10;16;3;10;846,8;9
1548059;33;BA;;;;;;;
1548060;34;PB;a;10;;12;144;;84
1548061;37;PI;b;15;;;42;;
1548062;51;AM;b;13;;;39;;
1548063;32;RO;;;;;;;
1548064;43;SP;;;;;;;
1548065;29;MG;b;3;21;;8;275,28;
1548066;37;SP;;;;;;;
1548067;41;AL;b;10;;;194;;
1548068;28;BA;;;;;;;
1548069;46;SP;;;;;;;
1548070;28;RN;a;;;11;;;104
1548071;25;SP;a;;;2;;;585
1548072;32;MG;b;18;12;;0;0;
1548073;35;SP;b;8;2;;3;137,46;
1548074;33;SP;b;5;10;;45;82,26;
1548075;29;SP;a;;;23;;;637,6
1548076;3;GO;a;21;4;7;130;0;78
1548077;31;CE;b;6;10;;224;341,6;
1548078;27;PE;a;;;1;;;2
1548079;45;SP;c;;4;;;81,3;
1548080;45;BA;;;;;;;
1548081;27;SC;;;;;;;
1548082;28;AM;a;9;9;3;3;754,9;18
1548083;9;RJ;b;11;17;;200;3816,95;
1548084;34;PB;b;12;;;126;;
1548085;3;BA;b;5;;;60;;
1548086;36;AM;;;;;;;
1548087;43;MG;;;;;;;
1548088;30;SP;c;;4;;;1002,19;
1548089;36;SP;a;8;;9;54;;5
1548090;26;SP;a;;;24;;;30
1548091;35;RS;a;;10;7;;19,8;8
1548092;40;BA;;;;;;;
1548093;30;RJ;b;8;;;15;;
1548094;24;MG;a;;3;11;;784;6
1548095;30;RJ;a;4;10;9;10;0;10
1548096;31;PR;a;6;;12;18;;6
1548097;33;MG;;;;;;;
1548098;35;SP;;;;;;;
1548099;31;SP;c;;11;;;1019,73;
1548100;37;PR;;;;;;;
1548101;27;AL;a;12;;12;88;;28
1548102;41;SP;;;;;;;
1548103;45;MG;b;10;;;91;;
1548104;49;DF;b;6;;;20;;
1548105;45;SP;b;10;11;;1;4330,8;
1548106;33;SP;a;14;;12;13;;175
1548107;39;SP;;;;;;;
1548108;26;ES;;;;;;;
1548109;31;PA;;;;;;;
1548110;31;RJ;b;9;;;0;;
1548111;23;BA;a;;7;12;;0;54
1548112;24;MG;;;;;;;
1548113;46;SP;b;3;11;;16;388,4;
1548114;46;AM;;;;;;;
1548115;42;SP;b;16;2;;0;647,9;
1548116;27;PE;b;12;6;;10;233,76;
1548117;23;MG;b;15;;;1080;;
1548118;26;BA;c;;5;;;60,5;
1548119;36;SP;a;;;14;;;54
1548120;21;CE;;;;;;;
1548121;5;BA;;;;;;;
1548122;34;BA;b;6;5;;184;83,61;
1548123;40;SP;;;;;;;
1548124;29;SP;a;2;6;19;280;923,1;0
1548125;45;SP;;;;;;;
1548126;27;SP;b;3;;;36;;
1548127;4;PA;c;;9;;;4783,44;
1548128;44;SP;b;2;8;;200;0;
1548129;26;RJ;;;;;;;
1548130;35;SP;;;;;;;
1548131;33;PI;b;5;;;405;;
1548132;41;PE;b;26;;;1778;;
1548133;33;SE;;;;;;;
1548134;39;CE;a;13;12;6;512;0;117
1548135;38;RJ;b;8;5;;664;271,04;
1548136;6;RJ;a;;;5;;;30
1548137;2;SC;b;13;8;;54;2472;
1548138;52;RJ;b;7;14;;2;1923,2;
1548139;24;MA;b;10;12;;56;332,9;
1548140;34;SP;b;17;8;;9;1885,7;
1548141;4;BA;;;;;;;
1548142;9;SP;;;;;;;
1548143;32;SP;;;;;;;
1548144;39;MG;a;;;4;;;10
1548145;1;DF;a;4;;9;4;;6
1548146;39;SP;;;;;;;
1548147;45;SP;c;;11;;;118,4;
1548148;5;SP;a;;;4;;;15
1548149;22;MG;b;18;;;805;;
1548150;45;SP;b;2;13;;75;2442,44;
1548151;24;DF;;;;;;;
1548152;38;SP;;;;;;;
1548153;32;AP;b;6;;;0;;
1548154;45;MG;b;3;9;;16;191,38;
1548155;31;RN;;;;;;;
1548156;3;RN;b;1;8;;745;772,98;
1548157;32;CE;;;;;;;
1548158;41;GO;;;;;;;
1548159;27;SP;c;;11;;;277,54;
1548160;31;BA;b;10;8;;36;33,98;
1548161;43;RS;;;;;;;
1548162;31;SC;b;5;6;;9;23,98;
1548163;9;SP;a;;;8;;;130
1548164;28;RN;;;;;;;
1548165;25;SP;;;;;;;
1548166;57;MG;c;;15;;;2399,68;
1548167;43;SP;b;5;;;56;;
1548168;28;MG;a;6;7;6;7;531;25
1548169;28;BA;a;29;2;10;108;538,6;0
1548170;26;SP;c;;7;;;1336,5;
1548171;48;SP;a;12;5;14;0;2090,9;0
1548172;26;RJ;;;;;;;
1548173;36;PB;;;;;;;
1548174;48;CE;b;10;;;2;;
1548175;46;SP;b;2;;;144;;
1548176;30;PE;b;8;;;76;;
1548177;33;PA;b;13;5;;665;139,95;
1548178;34;SE;;;;;;;
1548179;46;RN;b;7;7;;12;0;
1548180;44;SP;b;2;5;;40;0;
1548181;3;CE;c;;5;;;119,98;
1548182;46;RJ;b;10;;;220;;
1548183;40;CE;b;12;;;3;;
1548184;35;MG;b;11;2;;27;9,58;
1548185;29;SE;c;;8;;;1276,8;
1548186;28;SP;c;;14;;;2329,8;
1548187;42;SP;;;;;;;
1548188;42;SP;b;7;13;;30;3781,7;
1548189;38;CE;;;;;;;
1548190;47;RS;b;11;9;;125;467,74;
1548191;33;BA;b;36;;;2925;;
1548192;2;RJ;b;11;9;;16;291,91;
1548193;31;GO;;;;;;;
1548194;27;MG;;;;;;;
1548195;29;SC;;;;;;;
1548196;41;RJ;a;9;;16;110;;8
1548197;47;CE;b;17;;;1250;;
1548198;27;SP;b;3;13;;140;900,76;
1548199;21;MT;b;3;5;;15;959,84;
1548200;33;SP;a;9;7;12;135;384,32;0
1548201;34;MG;b;5;9;;15;0;
1548202;44;RJ;b;7;8;;24;349,5;
1548203;54;PI;;;;;;;
1548204;1;CE;;;;;;;
1548205;27;CE;b;15;11;;7;103,64;
1548206;32;SP;a;8;;7;0;;48
1548207;35;BA;b;10;10;;225;592,23;
1548208;53;AL;b;7;10;;7;286,08;
1548209;26;MG;c;;6;;;116,8;
1548210;32;RS;a;12;;6;10;;16
1548211;54;ES;b;24;;;95;;
1548212;34;RJ;;;;;;;
1548213;29;BA;;;;;;;
1548214;32;CE;b;15;4;;525;437,3;
1548215;46;SP;b;15;5;;1400;244,92;
1548216;4;AL;;;;;;;
1548217;5;SP;a;21;3;6;179;150;80
1548218;48;SP;;;;;;;
1548219;53;GO;b;7;;;24;;
1548220;48;SP;b;10;4;;220;134,97;
1548221;33;BA;a;4;;15;30;;52
1548222;26;GO;;;;;;;
1548223;27;MG;a;17;11;13;570;762,42;90
1548224;27;GO;;;;;;;
1548225;39;AM;a;6;;9;21;;4
1548226;39;MG;;;;;;;
1548227;8;SP;b;8;15;;0;746,62;
1548228;33;RS;;;;;;;
1548229;34;BA;b;7;;;5;;
1548230;24;PA;c;;5;;;89,98;
1548231;40;MG;;;;;;;
1548232;52;RJ;b;6;;;20;;
1548233;30;SE;b;23;;;2058;;
1548234;49;AL;b;7;8;;0;109,98;
1548235;0;MG;;;;;;;
1548236;42;PA;;;;;;;
1548237;37;AL;b;5;7;;2;0;
1548238;45;BA;a;13;;3;60;;152
1548239;26;SE;;;;;;;
1548240;39;AM;b;11;4;;870;4378,36;
1548241;35;CE;b;9;;;114;;
1548242;23;SP;b;6;;;4;;
1548243;29;SC;a;12;;11;0;;3
1548244;6;PA;b;14;;;0;;
1548245;27;BA;b;18;;;77;;
1548246;31;SC;;;;;;;
1548247;19;SP;;;;;;;
1548248;26;RN;a;;;3;;;1
1548249;41;SP;;;;;;;
1548250;9;PB;b;4;11;;0;301,08;
1548251;22;PA;b;6;13;;4;0;
1548252;30;SP;a;;;10;;;33
1548253;25;MG;a;9;2;2;1035;191;0
1548254;21;BA;b;1;;;0;;
1548255;29;SP;b;9;;;12;;
1548256;31;MT;a;4;;7;28;;27
1548257;44;SP;a;;;4;;;40
1548258;24;RS;;;;;;;
1548259;27;SP;;;;;;;
1548260;31;GO;a;20;10;8;100;0;207
1548261;32;CE;;;;;;;
1548262;36;MG;;;;;;;
1548263;33;SP;b;16;;;225;;
1548264;29;RJ;b;13;2;;270;747,99;
1548265;32;RS;a;12;;6;24;;690
1548266;2;ES;;;;;;;
1548267;46;SP;;;;;;;
1548268;27;SP;a;7;;6;207;;6
1548269;48;SP;b;9;10;;198;388,85;
1548270;25;AC;;;;;;;
1548271;45;SP;b;13;;;108;;
